,year,timestep,stand_age,disturb_mort,disturb_bio_remove,lai_scalar,fol_n,npp_decline_scalar,wood_mort_rate,snag_fall_rate,snag_decay_rate,dwd_decay_rate,wood_production,wood_biomass,bark_biomass,standing_necromass,downed_necromass,standing_necromass_N,standing_necromass_CN,downed_necromass_N,downed_necromass_CN,standing_necromass_bark,downed_necromass_bark,standing_necromass_bark_N,standing_necromass_bark_CN,downed_necromass_bark_N,downed_necromass_bark_CN,wood_necromass,wood_necromass_N,bark_necromass,bark_necromass_N,total_necromass,total_necromass_N
0,1919,0,0.0,0.59,0.8,0.05,2.5,1.0,0.013333333333333334,0.14492753623188406,0.059880239520958084,0.12048192771084336,27.5,27.5,0.0,0.3135265700483092,0.0531400966183575,0.00048596618357487926,1.6048788316482105,8.236714975845412e-05,1.6048788316482108,0.0,0.0,0.0,49.74626865671642,0.0,,0.3666666666666667,0.0005683333333333333,0.0,0.0,0.3666666666666667,0.0005683333333333333
1,1920,1,1.0,0.0,0.0,0.1,2.5,1.0,0.013486842105263158,0.13220815752461323,0.05706214689265537,0.1118279569892473,55.0,82.13333333333333,0.0,1.210583661367401,0.2293196507271992,0.0019055044465910215,3.097368909227887,0.0003797937990230135,2.954018819944307,0.0,0.0,0.0,99.49253731343283,,,1.4399033120946003,0.002285298245614035,0.0,,1.4399033120946003,
2,1921,2,2.0,0.0,0.0,0.15,2.5,1.0,0.013636363636363636,0.12234706616729088,0.05454545454545454,0.10485436893203884,82.5,163.5256140350877,0.0,2.9346560737566962,0.6075452442182794,0.0046817600207495775,4.492199785784909,0.0010598750669697193,4.159199399845961,0.0,0.0,0.0,149.23880597014926,,,3.5422013179749756,0.005741635087719297,0.0,,3.5422013179749756,
3,1922,3,3.0,0.0,0.0,0.2,2.5,1.0,0.013782051282051282,0.11447811447811448,0.05228426395939086,0.09911504424778761,110.0,271.29571929824556,0.0,5.71133324533138,1.272129711524617,0.009220200670668503,5.80154719734313,0.0023169022668033806,5.257773537623181,0.0,0.0,0.0,198.98507462686567,,,6.9834629568559965,0.011537102937471884,0.0,,6.9834629568559965,
4,1923,4,4.0,0.0,0.0,0.25,2.5,1.0,0.013924050632911392,0.10805300713557595,0.050241545893719805,0.0943089430894309,137.5,405.05670778227613,0.0,9.752968257293782,2.310779905601889,0.015912037066258586,7.035625579827408,0.004367112539172547,6.270284636938196,0.0,0.0,0.0,248.73134328358208,,,12.06374816289567,0.020279149605431132,0.0,,12.06374816289567,
5,1924,5,5.0,0.0,0.0,0.3,2.5,1.0,0.0140625,0.10270774976657329,0.04838709677419355,0.09022556390977443,165.0,564.4166776739153,0.0,15.261314529712305,3.8136059697689593,0.025135951467259818,8.203099572763792,0.007445717909344938,7.210658307744382,0.0,0.0,0.0,298.4776119402985,,,19.074920499481266,0.032581669376604755,0.0,,19.074920499481266,
6,1925,6,6.0,0.0,0.0,0.35,2.5,1.0,0.014197530864197531,0.09819121447028424,0.04669603524229075,0.08671328671328671,192.5,748.9795681441259,0.0,22.42907211326846,5.872577752172185,0.037258940574138616,9.311383347472347,0.01180490263230447,8.089345540022075,0.0,0.0,0.0,348.2238805970149,,,28.301649865440645,0.04906384320644309,0.0,,28.301649865440645,
7,1926,7,7.0,0.0,0.0,0.4,2.5,1.0,0.014329268292682927,0.09432454036770584,0.04514767932489452,0.08366013071895424,220.0,958.3459076087463,0.0,31.44082114806765,8.581194246506556,0.052636685286137,10.366865917727024,0.017712371142652776,8.914625733207085,0.0,0.0,0.0,397.97014925373134,,,40.022015394574204,0.07034905642878977,0.0,,40.022015394574204,
8,1927,8,8.0,0.0,0.0,0.45,2.5,1.0,0.014457831325301205,0.09097688292319164,0.0437246963562753,0.08098159509202454,247.5,1192.1135119814257,0.0,42.47360028942262,12.034250297733058,0.07161366864516774,11.375085222759681,0.025450220702723857,9.693264331524585,0.0,0.0,0.0,447.7164179104478,,,54.50785058715568,0.0970638893478916,0.0,,54.50785058715568,
9,1928,9,9.0,0.0,0.0,0.5,2.5,1.0,0.014583333333333334,0.0880503144654088,0.042412451361867706,0.07861271676300578,275.0,1449.8781359045859,0.0,55.69727520766575,16.327643930437567,0.09452316467764815,12.340865414066196,0.035314011700586685,10.430895422977557,0.0,0.0,0.0,497.46268656716416,,,72.02491913810331,0.12983717637823483,0.0,,72.02491913810331,
10,1929,10,10.0,0.0,0.0,0.55,2.5,1.0,0.014705882352941176,0.08547008547008549,0.04119850187265917,0.07650273224043716,302.5,1731.2340797559773,0.0,71.27478165658079,21.55819747119083,0.12168716777572111,13.268426921204878,0.0476119618910691,11.132268935473672,0.0,0.0,0.0,547.2089552238806,,,92.83297912777161,0.16929912966679023,0.0,,92.83297912777161,
11,1930,11,11.0,0.0,0.0,0.6,2.5,1.0,0.014825581395348838,0.08317815021725637,0.04007220216606498,0.07461139896373056,330.0,2035.7747550536835,0.0,89.36229367635192,27.82348069037688,0.15341630262317027,14.161475894272364,0.06266422076076927,11.80142314631701,0.0,0.0,0.0,596.955223880597,,,117.18577436672881,0.21608052338393954,0.0,,117.18577436672881,
